ID	CCLE_name	Cell_line_primary_name	Gender	Batch	Site_Primary	Histology	Hist_Subtype1
AGENT_p_NCLE_RNA6_HG-U133_Plus_2_D09_436574	NCIH2087_LUNG	NCI-H2087	M	6	lung	carcinoma	adenocarcinoma
AGENT_p_NCLE_RNA6_HG-U133_Plus_2_D11_436570	NCIH2085_LUNG	NCI-H2085	M	6	lung	carcinoma	adenocarcinoma
AGENT_p_NCLE_RNA6_HG-U133_Plus_2_D12_436552	NCIH510_LUNG	NCI-H510	M	6	lung	carcinoma	small_cell_carcinoma
AGENT_p_NCLE_RNA6_HG-U133_Plus_2_E03_436546	NCIH2066_LUNG	NCI-H2066	F	6	lung	carcinoma	small_cell_carcinoma
AGENT_p_NCLE_RNA6_HG-U133_Plus_2_E04_436560	NCIH1341_LUNG	NCI-H1341	F	6	lung	carcinoma	small_cell_carcinoma
AGENT_p_NCLE_RNA6_HG-U133_Plus_2_E05_436558	NCIH2029_LUNG	NCI-H2029	F	6	lung	carcinoma	small_cell_carcinoma
AGENT_p_NCLE_RNA6_HG-U133_Plus_2_E10_436478	LU65_LUNG	LU65	M	6	lung	carcinoma	non_small_cell_carcinoma
AGENT_p_NCLE_RNA6_HG-U133_Plus_2_F11_436456	NCIH1573_LUNG	NCI-H1573	F	6	lung	carcinoma	adenocarcinoma
AGENT_p_NCLE_RNA6_HG-U133_Plus_2_G01_436506	NCIH1651_LUNG	NCI-H1651	M	6	lung	carcinoma	adenocarcinoma
AGENT_p_NCLE_RNA6_HG-U133_Plus_2_G06_436504	NCIH226_LUNG	NCI-H226	M	6	lung	carcinoma	squamous_cell_carcinoma
AGENT_p_NCLE_RNA6_HG-U133_Plus_2_G07_436502	NCIH1666_LUNG	NCI-H1666	F	6	lung	carcinoma	bronchioloalveolar_adenocarcinoma
AGENT_p_NCLE_RNA6_HG-U133_Plus_2_G10_436496	NCIH1734_LUNG	NCI-H1734	F	6	lung	carcinoma	adenocarcinoma
AGENT_p_NCLE_RNA6_HG-U133_Plus_2_G11_436494	NCIH2342_LUNG	NCI-H2342	M	6	lung	carcinoma	adenocarcinoma
AGENT_p_NCLE_RNA6_HG-U133_Plus_2_G12_436484	EBC1_LUNG	EBC-1	M	6	lung	carcinoma	squamous_cell_carcinoma
AGENT_p_NCLE_RNA6_HG-U133_Plus_2_H05_436448	NCIH322_LUNG	NCI-H322	M	6	lung	carcinoma	adenocarcinoma
AGENT_p_NCLE_RNA6_HG-U133_Plus_2_H06_436442	HS618T_LUNG	Hs-618.T	F	6	lung	carcinoma	adenocarcinoma
AGENT_p_NCLE_RNA6_HG-U133_Plus_2_H10_436434	NCIH2291_LUNG	NCI-H2291	M	6	lung	carcinoma	adenocarcinoma
MAKER_p_NCLE_RNA7_HG-U133_Plus_2_A01_454758	CPCN_LUNG	CPC-N	M	7	lung	carcinoma	small_cell_carcinoma
MAKER_p_NCLE_RNA7_HG-U133_Plus_2_A02_454760	T3M10_LUNG	T3M-10	M	7	lung	carcinoma	large_cell_carcinoma
MAKER_p_NCLE_RNA7_HG-U133_Plus_2_A10_454768	NCIH2023_LUNG	NCI-H2023	M	7	lung	carcinoma	adenocarcinoma
MAKER_p_NCLE_RNA7_HG-U133_Plus_2_A11_454762	DMS153_LUNG	DMS-153	M	7	lung	carcinoma	small_cell_carcinoma
